route_name,origin,destination,service_type,route_name_simple,type
P72,Lozanne,Ternand,day,Lozanne → Ternand,day
P72,Lamure Sur Azergues,Le Breuil Rhone,day,Lamure Sur Azergues → le Breuil Rhone,day
P72,Grandris Centre,Bois D Oingt Legny,day,Grandris Centre → Bois D Oingt Legny,day
P72,Paray Le Monial,Grandris La Folletiere,day,Paray le Monial → Grandris la Folletiere,day
P72,Bois D Oingt,Lozanne,day,Bois D Oingt → Lozanne,day
C29,Lozanne,Lyon Gorge De Loup,day,Lozanne → Lyon Gorge de Loup,day
C29,Lozanne,Lyon Saint Paul Quai De Bondy,day,Lozanne → Lyon Saint Paul Quai de Bondy,day
C19,Sain Bel,Le Meridien La Ferriere,day,Sain Bel → le Meridien la Ferriere,day
C19,Lyon Saint Paul Quai De Bondy,Lentilly Charpenay,day,Lyon Saint Paul Quai de Bondy → Lentilly Charpenay,day
C12,Lyon Part Dieu Gare Routiere,Roanne Gare Routiere,day,Lyon Part Dieu → Roanne,day
P70,Boen,St Etienne Chatcrx G Routiere,day,Boen → St Etienne Chatcrx G,day
P70,St Etienne Chatcrx G Routiere,Montbrison,day,St Etienne Chatcrx G → Montbrison,day
P70,St Etienne Chatcrx G Routiere,Noiretable Place Passeliere,day,St Etienne Chatcrx G → Noiretable Place Passeliere,day
P70,St Etienne Chatcrx G Routiere,Chabreloche Pont Bascule,day,St Etienne Chatcrx G → Chabreloche Pont Bascule,day
P70,Thiers,St Etienne Chatcrx G Routiere,day,Thiers → St Etienne Chatcrx G,day
C30,Feurs,St Etienne Chatcrx G Routiere,day,Feurs → St Etienne Chatcrx G,day
P28,St Etienne Chatcrx G Routiere,Le Puy En Velay,day,St Etienne Chatcrx G → le Puy En Velay,day
P28,Le Puy En Velay,Firminy,day,le Puy En Velay → Firminy,day
K70,Lille Flandres,Dunkerque,day,Lille Flandres → Dunkerque,day
K44,Douai,Lille Flandres,day,Douai → Lille Flandres,day
C12,Paris Gare Du Nord,Chantilly Gouvieux,day,Paris du Nord → Chantilly Gouvieux,day
C41,Lens,Lille Flandres,day,Lens → Lille Flandres,day
K71,Etaples Le Touquet,Lille Flandres,day,Etaples le Touquet → Lille Flandres,day
P15,Serezin,Ternay Barbieres,day,Serezin → Ternay Barbieres,day
P15,Serezin,Communay,day,Serezin → Communay,day
C24,Lyon Perrache Gare Routiere,Vienne Gare Routiere,day,Lyon Perrache → Vienne,day
C15,Macon,Lyon Part Dieu Gare Routiere,day,Macon → Lyon Part Dieu,day
C25,Villefranche Sur Saone,Lyon Perrache Gare Routiere,day,Villefranche Sur Saone → Lyon Perrache,day
C18,Amberieu En Bugey,Lyon Part Dieu Gare Routiere,day,Amberieu En Bugey → Lyon Part Dieu,day
P16,Saint Pierre De Chandieu Charmy,Saint Priest,day,Saint Pierre de Chandieu Charmy → Saint Priest,day
K1+,Le Havre,Paris Saint Lazare,day,le Havre → Paris Saint Lazare,day
P42,Montlucon,Vierzon,day,Montlucon → Vierzon,day
P22,Clermont Ferrand,Gannat,day,Clermont Ferrand → Gannat,day
P22,Gannat,Riom Chatel Guyon,day,Gannat → Riom Chatel Guyon,day
P57,Saint Denis Pres Martel,Aurillac,day,Saint Denis Pres Martel → Aurillac,day
P29,Aurillac,Figeac,day,Aurillac → Figeac,day
P62,Vichy,Montlucon,day,Vichy → Montlucon,day
P37,Brioude,Le Puy En Velay Lafayette,day,Brioude → le Puy En Velay Lafayette,day
P37,Le Puy En Velay,Le Breuil Sur Couze,day,le Puy En Velay → le Breuil Sur Couze,day
P22,Montlucon,Clermont Ferrand,day,Montlucon → Clermont Ferrand,day
P22,Riom Chatel Guyon,Montlucon,day,Riom Chatel Guyon → Montlucon,day
P29,Arvant,Aurillac,day,Arvant → Aurillac,day
C10,Thiers,Vertaizon,day,Thiers → Vertaizon,day
C2,Moulins Sur Allier,Vichy,day,Moulins Sur Allier → Vichy,day
P57,Brive La Gaillarde,Aurillac,day,Brive la Gaillarde → Aurillac,day
C10,Clermont Ferrand,Thiers,day,Clermont Ferrand → Thiers,day
P78,Volvic,Clermont Ferrand,day,Volvic → Clermont Ferrand,day
C2,Clermont Ferrand,Vichy,day,Clermont Ferrand → Vichy,day
P23,Urcay Hotel Du Lyon D Or,Montlucon,day,Urcay Hotel du Lyon D Or → Montlucon,day
P23,Saint Amand Montrond Orval,Montlucon,day,Saint Amand Montrond Orval → Montlucon,day
P17,Saint Georges D Aurac,Langeac,day,Saint Georges D Aurac → Langeac,day
C10,Vertaizon,Clermont Ferrand,day,Vertaizon → Clermont Ferrand,day
K60,Noiretable Place Passeliere,Thiers,day,Noiretable Place Passeliere → Thiers,day
P17,Saint Georges D Aurac Bourg,Langeac,day,Saint Georges D Aurac Bourg → Langeac,day
P17,Langeac,Brioude,day,Langeac → Brioude,day
P37,Le Puy En Velay,Paulhaguet Monument,day,le Puy En Velay → Paulhaguet Monument,day
P37,Le Puy En Velay,Brioude,day,le Puy En Velay → Brioude,day
P37,Brioude,Sainte Eugenie De Villeneuve,day,Brioude → Sainte Eugenie de Villeneuve,day
P37,Brioude,Fix Saint Geneys Rn102 Bourg,day,Brioude → Fix Saint Geneys Rn102 Bourg,day
P85,Langeac,Le Puy En Velay Lafayette,day,Langeac → le Puy En Velay Lafayette,day
P85,Le Puy En Velay,Langeac Le Treuil,day,le Puy En Velay → Langeac le Treuil,day
P85,Arvant,Lanthenas,day,Arvant → Lanthenas,day
P85,Arvant,Fix Saint Geneys Rn102 Bourg,day,Arvant → Fix Saint Geneys Rn102 Bourg,day
P37,Brioude,Lanthenas,day,Brioude → Lanthenas,day
K1+,Yvetot,Rouen Rive Droite,day,Yvetot → Rouen Rive Droite,day
C7,Issoire,Arvant,day,Issoire → Arvant,day
P29,Capdenac,Aurillac,day,Capdenac → Aurillac,day
C7,Vic Le Comte,Issoire Lycee Deville,day,Vic le Comte → Issoire Lycee Deville,day
P29,Aurillac,Murat,day,Aurillac → Murat,day
C7,Le Breuil Sur Couze Lycee Agricole,Issoire,day,le Breuil Sur Couze Lycee Agricole → Issoire,day
C7,Vic Le Comte,Le Breuil Sur Couze Lycee Agricole,day,Vic le Comte → le Breuil Sur Couze Lycee Agricole,day
C7,Brioude,Issoire,day,Brioude → Issoire,day
K3+,Trouville Deauville,Rouen Rive Droite,day,Trouville Deauville → Rouen Rive Droite,day
K1,Dieppe,Rouen Rive Droite,day,Dieppe → Rouen Rive Droite,day
K1,Dieppe,Paris Saint Lazare,day,Dieppe → Paris Saint Lazare,day
INCONNU,Amberieu En Bugey,Saint Rambert En Bugey,day,Amberieu En Bugey → Saint Rambert En Bugey,day
INCONNU,Amberieu En Bugey,Virieu Le Grand Belley,day,Amberieu En Bugey → Virieu le Grand Belley,day
K2+,Paris Saint Lazare,Cherbourg,day,Paris Saint Lazare → Cherbourg,day
INCONNU,Amberieu En Bugey,Tenay Hauteville,day,Amberieu En Bugey → Tenay Hauteville,day
K2+,Cherbourg,Evreux Normandie,day,Cherbourg → Evreux Normandie,day
P24,Grenoble,Gap,day,Grenoble → Gap,day
P25,Clelles Mairie,Grenoble,day,Clelles Mairie → Grenoble,day
P25,Grenoble,Lus La Croix Haute Rd 1075,day,Grenoble → Lus la Croix Haute Rd 1075,day
P24,Clelles Mens,Gap,day,Clelles Mens → Gap,day
K21,Valence Tgv Rhone Alpes Sud,Grenoble,day,Valence Tgv Rhone Alpes Sud → Grenoble,day
INCONNU,Grenoble,Valence Gare Routiere,day,Grenoble → Valence,day
C1,Grenoble,Chambery Challes Les Eaux,day,Grenoble → Chambery Challes les Eaux,day
P64,Valence Gare Routiere,Die,day,Valence → Die,day
P64,Valence Tgv Rhone Alpes Sud,Veynes Devoluy,day,Valence Tgv Rhone Alpes Sud → Veynes Devoluy,day
P64,Luc En Diois,Valence Gare Routiere,day,Luc En Diois → Valence,day
P64,Valence Tgv Rhone Alpes Sud,Luc En Diois,day,Valence Tgv Rhone Alpes Sud → Luc En Diois,day
P64,Veynes Devoluy,Valence Gare Routiere,day,Veynes Devoluy → Valence,day
P64,Romans Gare Routiere,Die,day,Romans → Die,day
P66,Chambery Challes Les Eaux,Les Abrets Rue Italie,day,Chambery Challes les Eaux → les Abrets Rue Italie,day
K3,Pont De Beauvoisin,Chambery Challes Les Eaux,day,Pont de Beauvoisin → Chambery Challes les Eaux,day
P66,Saint Andre Le Gaz,Aiguebelette Centre,day,Saint Andre le Gaz → Aiguebelette Centre,day
K3,La Tour Du Pin,Lepin Le Lac La Bauche,day,la Tour du Pin → Lepin le Lac la Bauche,day
K3,Bourgoin Jallieu,Chambery Challes Les Eaux,day,Bourgoin Jallieu → Chambery Challes les Eaux,day
C6,Rives,La Tour Du Pin,day,Rives → la Tour du Pin,day
K2+,Paris Saint Lazare,Caen,day,Paris Saint Lazare → Caen,day
K6,Saint Andre Le Gaz,Lyon Perrache Gare Routiere,day,Saint Andre le Gaz → Lyon Perrache,day
E08,Modane,Grenoble,day,Modane → Grenoble,day
P81,Argentine,Saint Pierre D Albigny,day,Argentine → Saint Pierre D Albigny,day
P31,Chambery Challes Les Eaux,Modane,day,Chambery Challes les Eaux → Modane,day
P31,Epierre Saint Leger,Chambery Challes Les Eaux,day,Epierre Saint Leger → Chambery Challes les Eaux,day
P31,Montmelian,Epierre Saint Leger,day,Montmelian → Epierre Saint Leger,day
P31,Saint Pierre D Albigny,Epierre Saint Leger,day,Saint Pierre D Albigny → Epierre Saint Leger,day
P31,Aiton Salle Polyvalente,Pontamafrey,day,Aiton Salle Polyvalente → Pontamafrey,day
